GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 6
TotalNumTrainingExamples: 4
NumberOfClasses: 1
ClassIDsAndCounters: 
1	4
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 36
TimeSeriesData: 
-131.232	509.776	1964.66	484.884	519.664	1877.9
-152.184	444.106	1943.22	499.755	445.361	1857.17
-160.872	369.178	1919.21	503.037	383.426	1819.9
-178.49	298.81	1892.15	511.505	290.209	1819.44
-173.439	220.495	1896.02	513.363	217.378	1803.83
-166.3	144.274	1906.61	513.077	153.19	1802.86
-154.591	86.3143	1916.16	513.642	104.07	1834.1
-148.01	47.8148	1919.39	507.988	49.3409	1843.99
-133.677	19.926	1937.01	495.835	23.3351	1860.09
-130.753	-6.12984	1935.74	482.133	9.71109	1892.82
-112.751	-26.3961	1970.02	478.444	16.6957	1932.15
-122.67	-34.3083	1966.39	474.444	13.7044	1971.03
-122.57	-35.3298	1963.41	476.703	24.3536	1985.22
-114.691	-25.2204	1964.84	478.751	24.6767	1985
-121.086	-25.1417	1956.25	480.547	23.349	1986.94
-114.493	-9.78338	1977.57	478.579	21.2005	1967.83
-122.352	-12.8623	1975.99	482.385	38.0634	1989.88
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 38
TimeSeriesData: 
168.664	699.333	2088.78	290.47	671.717	2054.26
170.811	704.291	2097.5	297.254	669.96	2059.69
168.061	702.542	2097.47	280.14	683.07	2058.75
160.623	705.666	2094.55	283.784	677.811	2056.66
164.384	702.855	2095.44	287.763	673.184	2050.64
172.331	697.548	2095.95	291.655	669.658	2048.12
174.698	699.229	2091.24	291.901	669.312	2047.41
179.739	699.918	2091.18	291.352	670.78	2050.25
173.253	708.235	2098.43	290.993	669.927	2044.95
171.733	704.203	2095.73	293.389	672.819	2047.18
159.541	720.648	2097.2	292.482	692.62	2051.83
110.402	711.307	2082.12	297.473	716.162	2041.86
72.8853	723.729	2079.32	328.073	679.4	2017.89
20.9136	714.206	2067.5	369.944	722.408	2001.45
-31.2832	685.248	2063.92	407.155	724.66	1972.12
-65.5783	681.175	2054.67	440.672	717.303	1957.72
-94.8102	675.433	2056.6	468.772	704.952	1945.94
-115.09	662.135	2043.89	487.747	682.84	1931.43
-127.361	662.557	2040.44	497.874	668.744	1919.89
-129.872	660.532	2030.22	499.702	666.505	1918.63
-128.001	659.892	2034.13	491.639	663.783	1913.06
-123.785	650.192	2022.48	489.809	664.197	1909.67
-129.343	642.908	2010.31	486.065	656.497	1906.3
-129.392	623.7	2003.65	491.648	641.541	1909.06
-140.892	600.047	1981.08	493.951	611.984	1897.81
-158.795	513.217	1943.99	504.78	554.878	1860.55
-170.823	431.364	1919.49	512.844	498.575	1829.51
-184.974	358.685	1894.05	524.683	413.215	1802.76
-183.18	284.593	1893.68	535.284	324.109	1771.19
-180.104	167.873	1894.34	534.51	190.436	1781.81
-175.042	103.371	1894.8	525.17	119.484	1792.74
-164.53	53.6028	1907.41	518.87	64.7686	1810.09
-156.694	15.5036	1912.87	506.494	21.8384	1828.13
-150.989	-6.76801	1927.16	502.02	26.7792	1845.41
-139.963	-18.5438	1920.75	487.02	23.5756	1904.87
-139.004	-24.5155	1932.21	486.294	21.5476	1915.7
-135.019	-27.6043	1935.45	480.42	29.8253	1956.04
-134.996	-21.2732	1935.5	480.915	9.66602	1949.4
